Region,Building Class,Occupancy,DV,AV,,,,,,,,,
1,CR_LFINF+CDL+DUL+VL100_H1,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDL+DUL+VL100_H10,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDL+DUL+VL100_H2,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDL+DUL+VL100_H3,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDL+DUL+VL100_H4,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDL+DUL+VL100_H5,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDL+DUL+VL100_H6,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDL+DUL+VL100_H7,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDL+DUL+VL100_H8,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDL+DUL+VL100_H9,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDL+DUM_H1,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDL+DUM_H10,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDL+DUM_H2,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDL+DUM_H3,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDL+DUM_H4,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDL+DUM_H5,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDL+DUM_H6,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDL+DUM_H7,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDL+DUM_H8,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDL+DUM_H9,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDL+DUM+VL100_H1,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDL+DUM+VL100_H10,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDL+DUM+VL100_H2,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDL+DUM+VL100_H3,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDL+DUM+VL100_H4,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDL+DUM+VL100_H5,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDL+DUM+VL100_H6,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDL+DUM+VL100_H7,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDL+DUM+VL100_H8,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDL+DUM+VL100_H9,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDM+DUH_H1,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDM+DUH_H1_NSCA,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDM+DUH_H10,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDM+DUH_H2,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDM+DUH_H2_NSCA,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDM+DUH_H3,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDM+DUH_H3_NSCA,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDM+DUH_H4,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDM+DUH_H4_NSCA,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDM+DUH_H5,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDM+DUH_H5_NSCA,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDM+DUH_H6,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDM+DUH_H7,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDM+DUH_H8,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDM+DUH_H9,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDM+DUL_H1,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDM+DUL_H10,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDM+DUL_H2,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDM+DUL_H3,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDM+DUL_H4,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDM+DUL_H5,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDM+DUL_H6,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDM+DUL_H7,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDM+DUL_H8,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDM+DUL_H9,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDM+DUL+VL100_H1,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDM+DUL+VL100_H10,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDM+DUL+VL100_H2,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDM+DUL+VL100_H3,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDM+DUL+VL100_H4,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDM+DUL+VL100_H5,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDM+DUL+VL100_H6,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDM+DUL+VL100_H7,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDM+DUL+VL100_H8,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDM+DUL+VL100_H9,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDM+DUM_H1,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDM+DUM_H1_NSCA,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDM+DUM_H10,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDM+DUM_H2,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDM+DUM_H2_NSCA,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDM+DUM_H3,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDM+DUM_H3_NSCA,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDM+DUM_H4,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDM+DUM_H4_NSCA,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDM+DUM_H5,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDM+DUM_H5_NSCA,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDM+DUM_H6,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDM+DUM_H6_NSCA,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDM+DUM_H7,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDM+DUM_H7_NSCA,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDM+DUM_H8,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDM+DUM_H9,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDM+DUM_H9_NSCA,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDN+DNO_H1,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDN+DNO_H10,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDN+DNO_H2,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDN+DNO_H3,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDN+DNO_H4,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDN+DNO_H5,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDN+DNO_H6,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDN+DNO_H7,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDN+DNO_H8,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDN+DNO_H9,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDN+DNO+VL100_H1,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDN+DNO+VL100_H10,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDN+DNO+VL100_H2,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDN+DNO+VL100_H3,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDN+DNO+VL100_H4,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDN+DNO+VL100_H5,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDN+DNO+VL100_H6,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDN+DNO+VL100_H7,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDN+DNO+VL100_H8,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+CDN+DNO+VL100_H9,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+DUL_H1_CCA,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+DUL_H1_SOS,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+DUL_H10_CCA,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+DUL_H10_SOS,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+DUL_H2_CCA,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+DUL_H2_SOS,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+DUL_H3_CCA,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+DUL_H3_SOS,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+DUL_H4_CCA,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+DUL_H4_SOS,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+DUL_H5_CCA,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+DUL_H5_SOS,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+DUL_H6_CCA,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+DUL_H6_SOS,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+DUL_H7_CCA,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+DUL_H7_SOS,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+DUL_H8_CCA,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+DUL_H8_SOS,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+DUL_H9_CCA,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+DUL_H9_SOS,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+DUL+VL100_H1_SOS,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+DUL+VL100_H10_SOS,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+DUL+VL100_H2_SOS,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+DUL+VL100_H3_SOS,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+DUL+VL100_H4_SOS,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+DUL+VL100_H5_SOS,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+DUL+VL100_H6_SOS,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+DUL+VL100_H7_SOS,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+DUL+VL100_H8_SOS,RES,0.74,0.26,,,,,,,,,
1,CR_LFINF+DUL+VL100_H9_SOS,RES,0.74,0.26,,,,,,,,,
1,CR_LFM+CDH+DUH_H1,RES,0.74,0.26,,,,,,,,,
1,CR_LFM+CDH+DUH_H10,RES,0.74,0.26,,,,,,,,,
1,CR_LFM+CDH+DUH_H2,RES,0.74,0.26,,,,,,,,,
1,CR_LFM+CDH+DUH_H3,RES,0.74,0.26,,,,,,,,,
1,CR_LFM+CDH+DUH_H4,RES,0.74,0.26,,,,,,,,,
1,CR_LFM+CDH+DUH_H5,RES,0.74,0.26,,,,,,,,,
1,CR_LFM+CDH+DUH_H6,RES,0.74,0.26,,,,,,,,,
1,CR_LFM+CDH+DUH_H7,RES,0.74,0.26,,,,,,,,,
1,CR_LFM+CDH+DUH_H8,RES,0.74,0.26,,,,,,,,,
1,CR_LFM+CDH+DUH_H9,RES,0.74,0.26,,,,,,,,,
1,CR_LFM+CDH+DUM_H1,RES,0.74,0.26,,,,,,,,,
1,CR_LFM+CDH+DUM_H10,RES,0.74,0.26,,,,,,,,,
1,CR_LFM+CDH+DUM_H2,RES,0.74,0.26,,,,,,,,,
1,CR_LFM+CDH+DUM_H3,RES,0.74,0.26,,,,,,,,,
1,CR_LFM+CDH+DUM_H4,RES,0.74,0.26,,,,,,,,,
1,CR_LFM+CDH+DUM_H5,RES,0.74,0.26,,,,,,,,,
1,CR_LFM+CDH+DUM_H6,RES,0.74,0.26,,,,,,,,,
1,CR_LFM+CDH+DUM_H7,RES,0.74,0.26,,,,,,,,,
1,CR_LFM+CDH+DUM_H8,RES,0.74,0.26,,,,,,,,,
1,CR_LFM+CDH+DUM_H9,RES,0.74,0.26,,,,,,,,,
1,CR_LFM+CDL+DUL_H1,RES,0.74,0.26,,,,,,,,,
1,CR_LFM+CDL+DUL_H10,RES,0.74,0.26,,,,,,,,,
1,CR_LFM+CDL+DUL_H2,RES,0.74,0.26,,,,,,,,,
1,CR_LFM+CDL+DUL_H3,RES,0.74,0.26,,,,,,,,,
1,CR_LFM+CDL+DUL_H4,RES,0.74,0.26,,,,,,,,,
1,CR_LFM+CDL+DUL_H5,RES,0.74,0.26,,,,,,,,,
1,CR_LFM+CDL+DUL_H6,RES,0.74,0.26,,,,,,,,,
1,CR_LFM+CDL+DUL_H7,RES,0.74,0.26,,,,,,,,,
1,CR_LFM+CDL+DUL_H8,RES,0.74,0.26,,,,,,,,,
1,CR_LFM+CDL+DUL_H9,RES,0.74,0.26,,,,,,,,,
1,CR_LFM+CDL+DUL+VL100_H1,RES,0.74,0.26,,,,,,,,,
