taxonomy,consequence,loss_type,slight,moderate,extensive,complete
CR/LDUAL+CDL+DUL/H6/RES,collapsed,structural,0,0,0,0.060952381
CR/LDUAL+CDL+DUL/H7/COM,collapsed,structural,0,0,0,0.057142857
CR/LDUAL+CDL+DUL/H7/IND,collapsed,structural,0,0,0,0.057142857
CR/LDUAL+CDL+DUL/H7/RES,collapsed,structural,0,0,0,0.057142857
CR/LDUAL+CDL+DUL/H8/COM,collapsed,structural,0,0,0,0.053333333
CR/LDUAL+CDL+DUL/H8/IND,collapsed,structural,0,0,0,0.053333333
CR/LDUAL+CDL+DUL/H8/RES,collapsed,structural,0,0,0,0.053333333
CR/LDUAL+CDL+DUL/H9/COM,collapsed,structural,0,0,0,0.053333333
CR/LDUAL+CDL+DUL/H9/IND,collapsed,structural,0,0,0,0.053333333
CR/LDUAL+CDL+DUL/H9/RES,collapsed,structural,0,0,0,0.053333333
CR/LDUAL+CDL+DUL+VL100/H1/COM,collapsed,structural,0,0,0,0.08
CR/LDUAL+CDL+DUL+VL100/H1/IND,collapsed,structural,0,0,0,0.08
CR/LDUAL+CDL+DUL+VL100/H1/RES,collapsed,structural,0,0,0,0.08
CR/LDUAL+CDL+DUL+VL100/H10/COM,collapsed,structural,0,0,0,0.053333333
CR/LDUAL+CDL+DUL+VL100/H10/IND,collapsed,structural,0,0,0,0.053333333
CR/LDUAL+CDL+DUL+VL100/H10/RES,collapsed,structural,0,0,0,0.053333333
CR/LDUAL+CDL+DUL+VL100/H11/COM,collapsed,structural,0,0,0,0.053333333
CR/LDUAL+CDL+DUL+VL100/H11/IND,collapsed,structural,0,0,0,0.053333333
CR/LDUAL+CDL+DUL+VL100/H11/RES,collapsed,structural,0,0,0,0.053333333
CR/LDUAL+CDL+DUL+VL100/H12/COM,collapsed,structural,0,0,0,0.053333333
CR/LDUAL+CDL+DUL+VL100/H12/IND,collapsed,structural,0,0,0,0.053333333
CR/LDUAL+CDL+DUL+VL100/H12/RES,collapsed,structural,0,0,0,0.053333333
CR/LDUAL+CDL+DUL+VL100/H2/COM,collapsed,structural,0,0,0,0.076190476
CR/LDUAL+CDL+DUL+VL100/H2/IND,collapsed,structural,0,0,0,0.076190476
CR/LDUAL+CDL+DUL+VL100/H2/RES,collapsed,structural,0,0,0,0.076190476
CR/LDUAL+CDL+DUL+VL100/H3/COM,collapsed,structural,0,0,0,0.072380952
CR/LDUAL+CDL+DUL+VL100/H3/IND,collapsed,structural,0,0,0,0.072380952
CR/LDUAL+CDL+DUL+VL100/H3/RES,collapsed,structural,0,0,0,0.072380952
CR/LDUAL+CDL+DUL+VL100/H4/COM,collapsed,structural,0,0,0,0.068571429
CR/LDUAL+CDL+DUL+VL100/H4/IND,collapsed,structural,0,0,0,0.068571429
CR/LDUAL+CDL+DUL+VL100/H4/RES,collapsed,structural,0,0,0,0.068571429
CR/LDUAL+CDL+DUL+VL100/H5/COM,collapsed,structural,0,0,0,0.064761905
CR/LDUAL+CDL+DUL+VL100/H5/IND,collapsed,structural,0,0,0,0.064761905
CR/LDUAL+CDL+DUL+VL100/H5/RES,collapsed,structural,0,0,0,0.064761905
CR/LDUAL+CDL+DUL+VL100/H6/COM,collapsed,structural,0,0,0,0.060952381
CR/LDUAL+CDL+DUL+VL100/H6/IND,collapsed,structural,0,0,0,0.060952381
CR/LDUAL+CDL+DUL+VL100/H6/RES,collapsed,structural,0,0,0,0.060952381
CR/LDUAL+CDL+DUL+VL100/H7/COM,collapsed,structural,0,0,0,0.057142857
CR/LDUAL+CDL+DUL+VL100/H7/IND,collapsed,structural,0,0,0,0.057142857
CR/LDUAL+CDL+DUL+VL100/H7/RES,collapsed,structural,0,0,0,0.057142857
CR/LDUAL+CDL+DUL+VL100/H8/COM,collapsed,structural,0,0,0,0.053333333
CR/LDUAL+CDL+DUL+VL100/H8/IND,collapsed,structural,0,0,0,0.053333333
CR/LDUAL+CDL+DUL+VL100/H8/RES,collapsed,structural,0,0,0,0.053333333
CR/LDUAL+CDL+DUL+VL100/H9/COM,collapsed,structural,0,0,0,0.053333333
CR/LDUAL+CDL+DUL+VL100/H9/IND,collapsed,structural,0,0,0,0.053333333
CR/LDUAL+CDL+DUL+VL100/H9/RES,collapsed,structural,0,0,0,0.053333333
CR/LDUAL+CDL+DUM/H1/COM,collapsed,structural,0,0,0,0.057
CR/LDUAL+CDL+DUM/H1/IND,collapsed,structural,0,0,0,0.057
CR/LDUAL+CDL+DUM/H1/RES,collapsed,structural,0,0,0,0.057
CR/LDUAL+CDL+DUM/H10/COM,collapsed,structural,0,0,0,0.038
CR/LDUAL+CDL+DUM/H10/IND,collapsed,structural,0,0,0,0.038
CR/LDUAL+CDL+DUM/H10/RES,collapsed,structural,0,0,0,0.038
CR/LDUAL+CDL+DUM/H11/COM,collapsed,structural,0,0,0,0.038
CR/LDUAL+CDL+DUM/H11/IND,collapsed,structural,0,0,0,0.038
CR/LDUAL+CDL+DUM/H11/RES,collapsed,structural,0,0,0,0.038
