taxonomy,consequence,loss_type,slight,moderate,extensive,complete
CR/LDUAL+CDL+DUL+VL100/H6/RES,fatalities,structural,0,0,0,0.028698178
CR/LDUAL+CDL+DUL+VL100/H7/COM,fatalities,structural,0,0,0,0.027716841
CR/LDUAL+CDL+DUL+VL100/H7/IND,fatalities,structural,0,0,0,0.027716841
CR/LDUAL+CDL+DUL+VL100/H7/RES,fatalities,structural,0,0,0,0.027716841
CR/LDUAL+CDL+DUL+VL100/H8/COM,fatalities,structural,0,0,0,0.029293864
CR/LDUAL+CDL+DUL+VL100/H8/IND,fatalities,structural,0,0,0,0.029293864
CR/LDUAL+CDL+DUL+VL100/H8/RES,fatalities,structural,0,0,0,0.029293864
CR/LDUAL+CDL+DUL+VL100/H9/COM,fatalities,structural,0,0,0,0.029293864
CR/LDUAL+CDL+DUL+VL100/H9/IND,fatalities,structural,0,0,0,0.029293864
CR/LDUAL+CDL+DUL+VL100/H9/RES,fatalities,structural,0,0,0,0.029293864
CR/LDUAL+CDL+DUM/H1/COM,fatalities,structural,0,0,0,0.004537502
CR/LDUAL+CDL+DUM/H1/IND,fatalities,structural,0,0,0,0.004537502
CR/LDUAL+CDL+DUM/H1/RES,fatalities,structural,0,0,0,0.004537502
CR/LDUAL+CDL+DUM/H10/COM,fatalities,structural,0,0,0,0.009075005
CR/LDUAL+CDL+DUM/H10/IND,fatalities,structural,0,0,0,0.009075005
CR/LDUAL+CDL+DUM/H10/RES,fatalities,structural,0,0,0,0.009075005
CR/LDUAL+CDL+DUM/H11/COM,fatalities,structural,0,0,0,0.009075005
CR/LDUAL+CDL+DUM/H11/IND,fatalities,structural,0,0,0,0.009075005
CR/LDUAL+CDL+DUM/H11/RES,fatalities,structural,0,0,0,0.009075005
CR/LDUAL+CDL+DUM/H12/COM,fatalities,structural,0,0,0,0.009075005
CR/LDUAL+CDL+DUM/H12/IND,fatalities,structural,0,0,0,0.009075005
CR/LDUAL+CDL+DUM/H12/RES,fatalities,structural,0,0,0,0.009075005
CR/LDUAL+CDL+DUM/H2/COM,fatalities,structural,0,0,0,0.005556125
CR/LDUAL+CDL+DUM/H2/IND,fatalities,structural,0,0,0,0.005556125
CR/LDUAL+CDL+DUM/H2/RES,fatalities,structural,0,0,0,0.005556125
CR/LDUAL+CDL+DUM/H3/COM,fatalities,structural,0,0,0,0.006451279
CR/LDUAL+CDL+DUM/H3/IND,fatalities,structural,0,0,0,0.006451279
CR/LDUAL+CDL+DUM/H3/RES,fatalities,structural,0,0,0,0.006451279
CR/LDUAL+CDL+DUM/H4/COM,fatalities,structural,0,0,0,0.007222963
CR/LDUAL+CDL+DUM/H4/IND,fatalities,structural,0,0,0,0.007222963
CR/LDUAL+CDL+DUM/H4/RES,fatalities,structural,0,0,0,0.007222963
CR/LDUAL+CDL+DUM/H5/COM,fatalities,structural,0,0,0,0.007871177
CR/LDUAL+CDL+DUM/H5/IND,fatalities,structural,0,0,0,0.007871177
CR/LDUAL+CDL+DUM/H5/RES,fatalities,structural,0,0,0,0.007871177
CR/LDUAL+CDL+DUM/H6/COM,fatalities,structural,0,0,0,0.008395923
CR/LDUAL+CDL+DUM/H6/IND,fatalities,structural,0,0,0,0.008395923
CR/LDUAL+CDL+DUM/H6/RES,fatalities,structural,0,0,0,0.008395923
CR/LDUAL+CDL+DUM/H7/COM,fatalities,structural,0,0,0,0.008797198
CR/LDUAL+CDL+DUM/H7/IND,fatalities,structural,0,0,0,0.008797198
CR/LDUAL+CDL+DUM/H7/RES,fatalities,structural,0,0,0,0.008797198
CR/LDUAL+CDL+DUM/H8/COM,fatalities,structural,0,0,0,0.009075005
